MYTV-央视,#genre#
19,https://s3.bfzycdn.com/video/tonghuazhendiwuji/%E7%AC%AC20%E9%9B%86/index.m3u8
20,https://s3.bfzycdn.com/video/tonghuazhendiwuji/%E7%AC%AC21%E9%9B%86/index.m3u8
21,https://s3.bfzycdn.com/video/tonghuazhendiwuji/%E7%AC%AC23%E9%9B%86/index.m3u8
CYZ-童话镇6季,#genre#
0,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC01%E9%9B%86/index.m3u8
1,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC02%E9%9B%86/index.m3u8
2,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC03%E9%9B%86/index.m3u8
3,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC04%E9%9B%86/index.m3u8
4,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC05%E9%9B%86/index.m3u8
5,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC06%E9%9B%86/index.m3u8
6,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC07%E9%9B%86/index.m3u8
7,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC08%E9%9B%86/index.m3u8
8,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC09%E9%9B%86/index.m3u8
9,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC10%E9%9B%86/index.m3u8
10,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC11%E9%9B%86/index.m3u8
11,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC12%E9%9B%86/index.m3u8
12,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC13%E9%9B%86/index.m3u8
13,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC14%E9%9B%86/index.m3u8
14,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC15%E9%9B%86/index.m3u8
15,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC16%E9%9B%86/index.m3u8
16,https://s3.bfzycdn.com/video/tonghuazhendiliuji/%E7%AC%AC17%E9%9B%86/index.m3u8
